,manufacturer,price,number_of_reviews,number_of_answered_questions,average_review_rating,price_min,price_max,number_available_in_stock,collectible,new,refurbished,unavailable,used,condition
4988,Italeri,16.90,3,1.0,4.3,16.9,16.9,5,0,1,0,0,0,new
4989,Peco,3.80,7,1.0,4.4,3.8,3.8,3,0,1,0,0,0,new
4990,Takara Tomy,13.47,1,1.0,5.0,13.47,13.47,24,0,1,0,0,0,new
4991,Takara Tomy,11.85,1,1.0,5.0,11.85,11.85,31,0,1,0,0,0,new
4992,Trumpeter,95.99,1,1.0,5.0,95.99,95.99,5,0,1,0,0,0,new
4993,Dapol,9.79,1,1.0,5.0,9.79,9.79,3,0,1,0,0,0,new
4994,Kato,77.97,1,1.0,5.0,77.97,77.97,16,0,1,0,0,0,new
4995,Tommy Tech,17.86,6,1.0,4.5,17.86,17.86,29,0,1,0,0,0,new
4996,Driver Dan,37.99,14,1.0,4.4,37.99,37.99,2,0,1,0,0,0,new
4997,Hornby,43.51,1,1.0,5.0,43.51,43.51,4,0,1,0,0,0,new
4998,Richmond Toys,29.99,3,,4.0,29.99,29.99,2,0,1,0,0,0,new
4999,Corgi,29.99,2,,4.0,29.99,29.99,0,0,0,0,1,0,unavailable
5000,burago,29.99,1,,5.0,29.99,29.99,2,0,1,0,0,0,new
5001,Gumpert,184.99,1,,5.0,184.99,184.99,2,0,1,0,0,0,new
5002,TRI-ANG,9.99,1,,4.0,9.99,9.99,0,0,0,0,1,0,unavailable
5003,Corgi,34.99,1,,5.0,34.99,34.99,0,0,0,0,1,0,unavailable
5004,Checker,57.95,1,,5.0,57.95,57.95,0,0,0,0,1,0,unavailable
5005,Oxford Diecast,15.38,1,,5.0,15.38,15.38,4,0,1,0,0,0,new
5006,MENG,42.30,1,,5.0,42.3,42.3,2,0,1,0,0,0,new
5007,Corgi,34.99,3,,5.0,34.99,34.99,4,0,1,0,0,0,new
5008,Corgi,3.99,3,,4.7,3.99,3.99,2,0,1,0,0,0,new
5009,Britains,19.95,5,,4.2,19.95,19.95,8,0,1,0,0,0,new
5010,Oxford,5.50,1,,5.0,5.5,5.5,0,0,0,0,1,0,unavailable
5011,Corgi,21.99,49,3.0,4.2,21.99,21.99,2,0,1,0,0,0,new
5012,Oxford Diecast,20.19,2,3.0,4.5,20.19,20.19,5,0,1,0,0,0,new
5013,Maisto,32.03,1,3.0,5.0,32.03,32.03,4,0,1,0,0,0,new
5014,Oxford,4.15,1,3.0,5.0,4.15,4.15,2,0,1,0,0,0,new
5015,Oxford Diecast,23.95,4,3.0,4.5,23.95,23.95,6,0,1,0,0,0,new
5016,Porsche,49.99,1,3.0,5.0,49.99,49.99,0,0,0,0,1,0,unavailable
5017,Corgi,39.95,1,3.0,4.0,39.95,39.95,3,0,1,0,0,0,new
5018,Revell-Monogram,18.11,5,3.0,4.6,18.11,18.11,18,0,1,0,0,0,new
5019,Oxford,15.99,1,3.0,5.0,15.99,15.99,0,0,0,0,1,0,unavailable
5020,Oxford Diecast,15.20,2,3.0,4.5,15.2,15.2,4,0,1,0,0,0,new
5021,Oxford Diecast,7.25,2,3.0,5.0,7.25,7.25,10,0,1,0,0,0,new
5022,Ace,14.21,1,3.0,4.0,14.21,14.21,5,0,1,0,0,0,new
5023,Oxford Diecast,4.15,1,3.0,5.0,4.15,4.15,6,0,1,0,0,0,new
5024,Mattel,14.45,1,3.0,5.0,14.45,14.45,2,0,1,0,0,0,new
5025,Troféu,48.69,1,3.0,5.0,48.69,48.69,7,0,1,0,0,0,new
5026,Hot Wheels,2.99,1,3.0,4.0,2.99,2.99,0,0,0,0,1,0,unavailable
5027,Oxford Diecast,7.24,1,3.0,4.0,7.24,7.24,4,0,1,0,0,0,new
5028,burago,10.99,1,3.0,5.0,10.99,10.99,0,0,0,0,1,0,unavailable
5029,Mini,14.47,1,3.0,5.0,14.47,14.47,3,0,1,0,0,0,new
5030,Mirage Hobby,12.35,1,3.0,5.0,12.35,12.35,2,0,1,0,0,0,new
5031,Hornby,39.95,1,3.0,4.0,39.95,39.95,2,0,1,0,0,0,new
5032,cararama,9.49,1,3.0,5.0,9.49,9.49,7,0,1,0,0,0,new
5033,Maisto,15.00,2,1.0,4.5,15.0,15.0,3,0,1,0,0,0,new
5034,Lamborghini,24.87,1,1.0,5.0,24.87,24.87,2,0,1,0,0,0,new
5035,Oxford Diecast,8.58,11,1.0,4.7,8.58,8.58,5,0,1,0,0,0,new
5036,Motormax,41.90,1,1.0,5.0,41.9,41.9,2,0,1,0,0,0,new
5037,John Deere,18.99,4,1.0,4.3,18.99,18.99,10,0,1,0,0,0,new
5038,Bandai,28.63,1,1.0,5.0,28.63,28.63,9,0,1,0,0,0,new
5039,Norev,51.99,1,1.0,5.0,51.99,51.99,0,0,0,0,1,0,unavailable
5040,Emek,38.98,1,1.0,5.0,38.98,38.98,2,0,1,0,0,0,new
5041,TRI-ANG,5.45,1,1.0,4.0,5.45,5.45,2,0,1,0,0,0,new
5042,Tobar,12.04,2,1.0,5.0,12.04,12.04,6,0,1,0,0,0,new
5043,Italeri,36.79,1,1.0,5.0,36.79,36.79,20,0,1,0,0,0,new
5044,Hot Wheels,6.99,1,1.0,5.0,6.99,6.99,12,0,1,0,0,0,new
5045,Power Rangers,6.99,1,1.0,5.0,6.99,6.99,2,0,1,0,0,0,new
5046,Unbekannt,19.99,1,1.0,5.0,19.99,19.99,0,0,0,0,1,0,unavailable
5047,Hot Wheels,17.99,1,1.0,5.0,17.99,17.99,0,0,0,0,1,0,unavailable
5048,Oxford Diecast,6.75,1,1.0,5.0,6.75,6.75,8,0,1,0,0,0,new
5049,Oxford Diecast,6.42,1,1.0,5.0,6.42,6.42,7,0,1,0,0,0,new
5050,AUTOart,92.37,1,1.0,5.0,92.37,92.37,8,0,1,0,0,0,new
5051,basetoys,6.99,2,1.0,5.0,6.99,6.99,0,0,0,0,1,0,unavailable
5052,Oxford Diecast,19.45,1,1.0,4.0,19.45,19.45,5,0,1,0,0,0,new
5053,Mattel,10.99,1,1.0,5.0,10.99,10.99,9,0,1,0,0,0,new
5054,AUTOart,119.99,1,1.0,5.0,119.99,119.99,0,0,0,0,1,0,unavailable
5055,Oxford Diecast,15.81,2,1.0,5.0,15.81,15.81,3,0,1,0,0,0,new
5056,McLaren,114.95,1,1.0,5.0,114.95,114.95,0,0,0,0,1,0,unavailable
5057,Hobby Master,16.00,1,1.0,5.0,16.0,16.0,0,0,0,0,1,0,unavailable
5058,Starline,6.75,1,1.0,5.0,6.75,6.75,8,0,1,0,0,0,new
5059,Oxford Diecast,7.24,4,1.0,4.5,7.24,7.24,5,0,1,0,0,0,new
